发震日期,发震时间,经度(°),纬度(°),震源深度(千米),震级(M),震中位置
2023/5/2,23:27:22,99.28,25.35,10,5.2,云南保山市隆阳区
2023/4/3,3:32:24,115.8,6.5,600,6.1,南海海域
2023/2/27,7:58:05,79.85,41.87,10,5.1,新疆阿克苏地区温宿县
2023/1/30,7:49:39,82.29,40.01,50,6.1,新疆阿克苏地区沙雅县
2023/1/26,3:49:43,102.01,29.63,11,5.6,四川甘孜州泸定县
2022/12/22,10:47:02,99.14,35.56,9,5,青海果洛州玛多县
2022/12/15,12:03:17,121.79,23.73,10,5.9,台湾花莲县海域
2022/12/8,0:54:27,121.71,23.77,30,5.1,台湾花莲县海域
2022/11/19,1:27:34,102.26,23.37,8,5,云南红河州红河县
2022/11/13,9:47:44,121.1,22.44,10,5,台湾台东县海域
2022/11/10,13:01:06,94.48,28.35,10,5.6,西藏林芝市墨脱县
2022/10/23,23:06:58,77.85,37.71,17,5.1,新疆和田地区皮山县
2022/10/22,13:17:01,102.03,29.61,12,5,四川甘孜州泸定县
2022/10/19,12:35:34,92.3,37.69,11,5.5,青海海西州茫崖市
2022/10/16,16:54:31,78.13,39.42,17,5.1,新疆喀什地区巴楚县
2022/10/11,3:24:43,122.26,23.93,20,5.6,台湾花莲县海域
2022/9/19,10:07:43,121.35,23.42,10,5.7,台湾花莲县
2022/9/18,13:19:18,121.27,23.09,12,5.7,台湾台东县
2022/9/17,22:45:27,121.25,23.1,10,5.3,台湾台东县
2022/9/5,12:52:18,102.08,29.59,16,6.8,四川甘孜州泸定县
2022/8/14,16:20:00,92.85,33.14,10,5.9,青海玉树州杂多县
2022/7/3,6:02:11,78.14,40.88,10,5.2,新疆克孜勒苏州阿合奇县
2022/7/2,4:13:11,78.6,37.59,10,5.1,新疆和田地区皮山县
2022/6/28,21:43:30,120.11,22.18,20,5.3,台湾屏东县海域
2022/6/24,2:27:37,90.67,41.73,25,5.1,新疆吐鲁番市鄯善县
2022/6/20,9:05:07,121.52,23.66,10,5.9,台湾花莲县
2022/6/10,3:27:00,101.85,32.24,15,5.2,四川阿坝州马尔康市
2022/6/8,14:52:24,77.78,36.09,10,5,新疆和田地区皮山县
2022/6/7,9:57:54,123.53,25.58,210,5.4,台湾东北部海域
2022/6/1,17:00:08,102.94,30.37,17,6.1,四川雅安市芦山县
2022/5/9,14:23:02,122.51,24.01,16,6.2,台湾花莲县海域
2022/4/15,9:26:14,97.33,38.52,10,5.4,青海海西州德令哈市
2022/4/11,21:47:29,120.97,21.62,18,5.1,台湾屏东县海域
2022/4/8,7:36:11,121,21.67,10,5.3,台湾屏东县海域
2022/4/6,7:50:05,105.03,28.22,10,5.1,四川宜宾市兴文县
2022/3/26,0:21:02,97.33,38.5,10,6,青海海西州德令哈市
2022/3/24,8:38:24,121.58,23.24,24,5.2,台湾台东县海域
2022/3/23,4:29:57,121.52,23.39,20,5.7,台湾台东县海域
2022/3/17,21:41:18,77.86,36.1,10,5.2,新疆和田地区皮山县
2022/3/17,8:26:03,97.66,39.02,9,5.1,甘肃张掖市肃南县
2022/3/9,20:22:12,121.58,23.21,30,5.1,台湾台东县海域
2022/2/12,0:43:09,122.44,24.01,10,5.4,台湾花莲县海域
2022/2/7,18:58:24,122.01,24.39,34,5.1,台湾宜兰县海域
2022/1/23,10:21:17,97.37,38.44,8,5.8,青海海西州德令哈市
2022/1/12,18:20:40,101.49,37.69,10,5.2,青海海北州门源县
2022/1/8,2:09:05,101.24,37.78,12,5.1,青海海北州门源县
2022/1/3,17:46:34,122.39,24,15,6.4,台湾花莲县海域
2022/1/2,15:02:06,100.65,27.79,10,5.5,云南丽江市宁蒗县
2021/12/30,14:47:07,122.5,23.9,20,5.1,台湾花莲县海域
2021/12/19,7:54:28,92.73,38.95,10,5.3,青海海西州茫崖市
2021/11/30,21:53:43,87.94,31.76,10,5.8,西藏那曲市双湖县
2021/11/17,13:54:29,121.19,33.5,17,5,江苏盐城市大丰区海域
2021/10/24,13:11:34,121.8,24.55,60,6.3,台湾宜兰县
2021/9/16,4:33:31,105.34,29.2,10,6,四川泸州市泸县
2021/9/6,22:00:25,122.07,23.9,21,5.2,台湾花莲县海域
2021/9/5,1:52:08,77.85,37.79,10,5,新疆喀什地区叶城县
2021/9/4,9:54:08,77.96,37.87,7,5.1,新疆和田地区皮山县
2021/8/26,7:38:18,95.5,38.88,15,5.5,甘肃酒泉市阿克塞县
2021/8/13,12:21:35,97.54,34.58,8,5.8,青海果洛州玛多县
2021/8/6,19:12:30,121.31,23.15,10,5.1,台湾花莲县
2021/8/5,5:50:45,122.31,24.82,10,5.8,台湾宜兰县海域
2021/7/14,6:52:04,121.73,23.89,10,5.2,台湾花莲县海域
2021/7/8,6:11:55,121.68,23.88,10,5.1,台湾花莲县海域
2021/7/7,19:24:58,121.66,23.88,9,5.3,台湾花莲县海域
