id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4886566558241761,MAjZtyA3D,5256501798,海南校园,#南海海域近日发生6.1级地震##南海海域3日发生6.1级地震##地震应急包都有啥#地震来了不要慌！关于应对地震你需要做的地震应急准备。快来和小海一起学起来吧via.dy海淀区地震局L海南校园的微博视频,,,,"南海海域近日发生6.1级地震,南海海域3日发生6.1级地震,地震应急包都有啥",0,0,0,2023-04-03 22:21,海南校园超话,,"http://f.video.weibocdn.com/u0/m9REUfKrgx084nUdMNIc01041200NaJa0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502702&ssig=XIAFBIthHm&KID=unistore,video",
4886552176235709,MAjChqabX,6483757958,得米77,这几天发生的相关地震：1).23年3月28日，日本北海道6.1级地震；2).4月3日02:04，巴布亚新几内亚7.1级地震，震源深度60公里；3).4月3日03:32，南海海域（紧挨印尼）6.1级地震，震源深度600公里；4).4月3日11:06，俄罗斯远东区域勘堪察加东岸近海6.5级地震，震源深度100公里。几乎半天的时间，环太平洋地震带从太平洋西南的巴布亚新几内亚，到东南亚的印尼旁边的南海海域，到远东地区的堪察加海域都发生了6.1-7.1级地震，且包括一个100公里，一个600公里的深源地震。注意，南海海域6.1级地震幸好是600公里的深源地震，若是10公里浅源地震会是多少？如此深源地震，且整个环太平洋地震带东南亚链连发，再次印证去年10月的判断——从2022年汤加开始，到去年9月太平洋板块多次7级以上地震，包括深源地震，都无不在说明环太平洋地震带开始异常活跃，板块内部问题严重。,,,,,2,4,8,2023-04-03 21:24,iPhone客户端,"['https://wx1.sinaimg.cn/large/0074NbDgly1hcmtuqgwtxj30ku07xdhc.jpg', 'https://wx1.sinaimg.cn/large/0074NbDgly1hcmtuqqcxqj30k00cfmyy.jpg', 'https://wx2.sinaimg.cn/large/0074NbDgly1hcmtut2l9aj30k013ugya.jpg', 'https://wx1.sinaimg.cn/large/0074NbDgly1hcmtuu574kj30j313mwtm.jpg', 'https://wx4.sinaimg.cn/large/0074NbDgly1hcmtuvis9kj30if13u4d6.jpg', 'https://wx2.sinaimg.cn/large/0074NbDgly1hcmtuwzno6j30k013una3.jpg']",,
4886549857310485,MAjyxuFN3,5256501798,海南校园,海南校园#南海海域近日发生6.1级地震##南海海域3日发生6.1级地震#南海域发生6.1级地震，是近五年以来震中周边最大地震。via.dy飞出太阳系L海南校园的微博视频,,,,"南海海域近日发生6.1级地震,南海海域3日发生6.1级地震",13,37,34,2023-04-03 21:15,海南校园超话,,"http://f.video.weibocdn.com/u0/gnzwhCaEgx084nPwKNg4010412007Hrl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502702&ssig=5fkoL68Y51&KID=unistore,video",
4886549197489013,MAjxtvqex,1729798150,广东广播电视台城市之声,##南海海域发生6.1级地震#巴布亚新几内亚发生7.1级地震#地震#据中国地震台网正式测定，4月3日3时32分在南海海域发生6.1级地震，震源深度600公里，震中位于北纬6.50度，东经115.80度。据中国地震台网正式测定，北京时间4月3日2时4分（当地时间4月3日4时4分）在巴布亚新几内亚发生7.1级地震，震源深度60公里，震中位于南纬4.25度，东经143.10度。,,,,巴布亚新几内亚发生7.1级地震,5,0,3,2023-04-03 21:12,微博网页版,,,
4886519393555988,MAiLpeV4E,5256501798,海南校园,海南校园#南海海域近日发生6.1级地震##南海海域3日发生6.1级地震#突发6.1级地震！据中国地震台网正式测定4月3日3时32分在南海海域发生6.1级地餐9震源深度600公里震中位于北纬6.50度东经115.80度大家要保护好自己呀via.dy国际旅游岛商报L海南校园的微博视频,,,,"南海海域近日发生6.1级地震,南海海域3日发生6.1级地震",0,0,1,2023-04-03 19:14,海南校园超话,,"http://f.video.weibocdn.com/u0/WFns01cHgx084nHfG4iY010412001LQe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502702&ssig=Dyx8HPz2n3&KID=unistore,video",
4886514036642898,MAiCLrS7w,2724057417,海南文旅频道,突发！6.1级地震！在南海海域，距离海口市→据中国地震台网正式测定，4月3日3时32分在南海海域发生6.1级地震，震源深度600公里，震中位于北纬6.50度，东经115.80度。,,,,,0,0,0,2023-04-03 18:53,微博网页版,,,
4886497570586994,MAicd2sHE,2515313823,海南大小事儿,【突发事件！南海海域突发6.1级地震】据中国地震台网正式测定，4月3日3时32分在南海海域发生6.1级地震，震源深度600公里，震中位于北纬6.50度，东经115.80度。距海南三沙市1211公里，距海口市1616公里。震中5公里范围内平均海拔约-53米。根据中国地震台网速报目录，震中周边200公里内近5年来发生4级以上地震共1次，最大地震是本次地震！详细内容戳视频了解↓via.海南广播电视总台、国际旅游岛商报L新浪海南的微博视频,,,,,1,0,1,2023-04-03 17:47,微博视频号,,"http://f.video.weibocdn.com/u0/4giu57AUgx084nuG1D56010412001MtA0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502702&ssig=kqnLHWhm0H&KID=unistore,video",
4886496547701300,MAiaywjsw,3658228113,临淄发布,#突发！南海海域发生6.1级地震#L临淄发布的微博视频,,,,突发！南海海域发生6.1级地震,43,24,33,2023-04-03 17:43,微博视频号,,"http://f.video.weibocdn.com/o0/z7JmwL7Jlx084nB7Vai4010412001tUe0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502702&ssig=0JD2WMXCZc&KID=unistore,video",
4886484992131326,MAhRV8Wse,5256501798,海南校园,海南校园#南海海域近日发生6.1级地震##南海海域3日发生6.1级地震#南海海域发生6级地震，希望没有人员伤亡via.dy湾区直击L海南校园的微博视频,,,,"南海海域近日发生6.1级地震,南海海域3日发生6.1级地震",0,0,0,2023-04-03 16:57,海南校园超话,,"http://f.video.weibocdn.com/u0/0MOX7CVEgx084nxPoZ6E0104120019FN0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502702&ssig=np5IXqt%2Fxe&KID=unistore,video",
4886484525782490,MAhRaoghY,2116791777,邓兵老师,【金松约开研讨会】3月2日，收到金松的一条微信：“邓老师，提前申请：4月3日晚我们开个研讨会，在‘推杯换盏’的过程中，敲定一下人类移民火星的确切时间。您当年石中的老搭档，肯定是要参加的。您负责邀请。如何？”哈哈……提前一个月预约召开对人类文明进程有着“重大现实意义和深远历史意义”的研讨会，奇葩、另类吧？奇葩、另类，这就对了！金松就是一个喜欢不按常规出牌的老友记！1985年他在石中读高一，我教其语文。记得某次我骑单车经过北村回石中，突然有人跳上我的单车后座，因毫无思想准备，所以我吓了一大跳，车头一个“踉跄”，差点儿撞到路边民居。没等我回过神来，“哈哈……”身后便传来了金松无比开心的笑声！哈，只有这家伙，才敢跟老师开这样的玩笑！最让人惊叹且钦佩的，是2008年5月13日——听到汶川大地震消息的第二天，金松就请假自费飞往重庆。在重庆购置了50箱方便面和15箱矿泉水后，自驾车前往灾区，将救灾物资捐献给当地的救灾部门，成为全国第一批救灾自愿者。后来他又以建筑师的身份，随南海建设局的几名技术人员，第二次奔赴汶川，帮助灾民重建家园。他还向当年石中同学及朋友募集了几万元，捐给灾区（记得我当时好像也汇了几百元给他）。金松当年是石中电脑小组的骨干成员，是邹国强老师的高材生。今晚参加研讨会的，当然少不了邹老师。还有谁？为每一位石中学生高考档案都写上一句“该生前途无量”的陈老景，原石中校长杜校长、陈老师及夫人、石中“总师兄”何社，还有石中优秀学生家长梁局。唔，今晚的研讨会，气氛一定很热烈。此事有诗为证——两赴汶川爱无边，不畏艰险勇直前。把盏敲定飞天日，移民火星着先鞭！,,,,,0,0,3,2023-04-03 16:56,微博网页版,"['https://wx1.sinaimg.cn/large/7e2bade1gy1hcmm3stzrwj20j334yhdt.jpg', 'https://wx3.sinaimg.cn/large/7e2bade1gy1hcmm3vt8jhj20id0qwdz8.jpg']",,
