id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4.46441E+15,Ir1zLuIUM,6261816641,Dion_w萌,我刚刚看到一些视频好难受我们都不里面的人，感到害怕他们又只是平凡的肉体怎么会是铜墙铁壁呢给一点希望他们好不好让他们知道新年第一天有希望就好像当年地震灾区人民看到从天而降的军人下来一样让他们再坚持一下就好,,,,,0,0,0,2020/1/24 23:59,荣耀9 美得有声有色,,,
4.46441E+15,Ir1zIdrWH,2795354385,我喜欢海风吹过你,这种看不见摸不着的战争远比地震海啸要可怕,,,,,0,0,1,2020/1/24 23:59,OPPO R15 梦镜版,,,
4.46441E+15,Ir1zAflvl,1458151051,段维Tina,致我的前同事，陆军军医大学的军医们！不管是2003的非典小汤山，还是2008年的汶川地震，还是这次武汉肺炎，在祖国需要的时候，你们总是走在了最前线！祝福勇士们平安凯旋！#全国确诊新型肺炎病例#L段维Tina的微博视频,,,,全国确诊新型肺炎病例,8,0,239,2020/1/24 23:58,微博视频号,,"http://f.video.weibocdn.com/0007hurhgx07ApPhqcda010412004TEo0E010.mp4?label=mp4_hd&template=640x304.25.0&trans_finger=62b30a3f061b162e421008955c73f536&ori=0&ps=1BVp4ysnknHVZu&Expires=1687694722&ssig=8Cd%2BVccMAp&KID=unistore,video",
4.46441E+15,Ir1z65gPa,5034607187,圆錠逸生,#封城日记#今天是除夕，也是我们城彻底封城的第一天。早上七点，老爸就打电话回来说他没车回来了，一向爱睡懒觉的老妈立马起床准备开车去接他，还没出门，老爸就说蹭到熟人的车了。一通电话，唤醒了除夕的忙碌。一上午就在准备团年饭的时间里溜走了，中午在大风大雨的背景下团年，也算是另一种热闹了。下午打开电视，突然发现以前看过的港剧《oncall36小时》可以免费观看了，便津津有味地开始了回顾之旅。不得不说，港剧到现在仍是我的白月光，其中职业剧也是我的念念不忘。再看一次还是对其中不少台词感触颇深，尤其是在这个当口。香港的职业剧里可以看到对一种职业的尊重，首先就是对这个职业最基本的解读，医疗剧就给你细细科普病情和手术过程，警匪剧就给你展示警匪之间微妙的关系，法律剧就给你展现一个法官是如何以法服人的……在对职业最基本的尊重上再加以对这个职业的特殊解读，以及剧中人物对职业的信念和坚持。医生，这两个字，这个职业，在经历了这些天的风风雨雨后，我对它有了更深的认识，尤其是在看到自己的亲姑姑和叔叔除夕仍奋斗在前线时。记得以前我妈跟我说过，湖北处在中国的中部位置，而荆门又在湖北的中心位置，是一个洪水淹不到，地震震不到，战争打不到的地方，是个不发达的宝地，要是哪天荆门完蛋了，那就是他们把地下挖空，然后整个城地陷了，就没了。但是谁又能想到，在今天，荆门会因为一个看不见的敌人而首次封城呢。尽管到目前为止，荆门市通报确诊的不到十例，但是看着满大街的鄂A，谁又能轻易相信呢。不过好在今年亲戚们打电话来表示惜命，才打消了我爷和我爸走亲戚的念头。晚上的春晚一如既往的热闹，而我的家人们九点就已经上床了，不过我们还是听到了那句“武汉加油，中国加油”，十几天的愤怒不解郁闷烦躁都变成了眼含的热泪。会好的，一定会好的，关电视前看到旁边爷奶给太太买的明天没法送出的满满零食想着。,,,,封城日记,0,28,13,2020/1/24 23:57,OPPO R9,"['https://wx4.sinaimg.cn/large/005uIHjJgy1gb83d2sem1j30sg6o01l2.jpg', 'https://wx3.sinaimg.cn/large/005uIHjJgy1gb83difc6ej30sg3he7wi.jpg']",,
4.46405E+15,IqS94v7OX,1831064683,Boomboom开心果,中国人团结，困难面前互帮互助，迎难而上。就从离我最近的2008年汶川地震和2019年的香港事情，大家平时也许会为了小家相互竞争，但是困难面前每个人，每个团体，我们的祖国真的是像系在一根绳子，扎实，这种凝聚力让我们更加团结，也让外部势力不敢轻举妄动！作为90后的我们，也需要为社会做出一些贡献，此生才不枉过。加油！#武汉加油##广东启动重大突发公共卫生事件一级响应#,,,,"武汉加油,广东启动重大突发公共卫生事件一级响应",0,0,1,2020/1/23 23:58,OPPO R9s,['https://wx1.sinaimg.cn/large/6d23d46bgy1gb6xs80br9j20k00u875j.jpg'],,
4.46405E+15,IqS90FoUW,1682734843,sophia小飞侠,周天的晨间新闻某地地震受灾一方有难八方支援下一条湖北疫情爆发随之而来铺天盖地湖北人民无知麻木毫无一线城市才具备的市民公共卫生基本素养瞎吃得病他们活该现在爆发了还不滚远点？??我爸妈和朋友不吃野味正常出行关注新闻不乱转发我相信这也是大部分普通市民吧突然他们就成了过街老鼠般的传染源存在？传染病不是如地震般的天灾？他们能选择降临的灾难为何？你带上口罩自以为是漩涡外的精英而他们才在无法选择的危险中心眼见一座座城封起来害怕又委屈至少在灾难面前保留一点敬畏暂时收起你们的优越感吧,,,,,0,0,1,2020/1/23 23:58,iPhone客户端,,,
4.46405E+15,IqS8RbOwz,6490380783,于文文的陈小刺,03年有非典，08年有地震有雪灾，还有好多我记不清的年份，中国承受着许许多多的灾难。有着内忧，还有着外患，我们的国家经历着那么多的苦难才有了今天，很高兴作为中国人的我们一直携手并进，在接下来的日子里，我们也不会抛下任何一个城市，任何一个人🙏武汉加油哦！🇨🇳,,,,,0,0,0,2020/1/23 23:58,iPhone客户端,,,
4.46405E+15,IqS8MskWb,2063602645,铁甲小妮,地震的时候不是有电视台24h不间断报道吗，不是有空投物资吗，为什么这次响应这么慢，还有这么多病人没有床位、这么多医院请求捐助，真的是要急skr人。#武汉加油#,,,,武汉加油,0,2,0,2020/1/23 23:58,微博轻享版,,,
4.46368E+15,IqIIFj24A,6640032665,来一车荔枝儿,真是觉得不太平啊，伤医事件，失火，肺炎，地震，流感天灾人祸的希望大家都能好好的保护好自己,,,,,0,0,0,2020/1/22 23:58,nova5Pro人像超级夜景,,,
4.46368E+15,IqII1DGLw,5600312690,biubiupiuOzO,非典的时候在小学还不懂事只知道放假地震的时候念初中看着电视会为别人的家庭破碎而难过为别人坚强勇敢而流泪今年这个肺炎病毒为工作者敬佩国家的强大也看到对于疾病的快速反应措施医患沸沸扬扬也发现社会给予的保护和尊重真的太少有关注才会有发展从法律到社会也重视起医护人员保障起这个群体的安全哪有什么太平盛世只是有人默默在负重前行有太多默默无闻的英雄扛起风雨与巨石,,,,,0,0,0,2020/1/22 23:57,iPhone客户端,['https://wx4.sinaimg.cn/large/00670la2gy1gb5rmnd9pij30u01hch2a.jpg'],,
