id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4873840562279726,MuYVG9z3M,3501569871,安阳工学院团委,#新疆地震##新疆温宿发生5.1级地震#中国地震台网正式测定：02月27日07时58分在新疆阿克苏地区温宿县（北纬41.87度，东经79.85度）发生5.1级地震，震源深度10千米。愿平安！,,,,"新疆地震,新疆温宿发生5.1级地震",0,0,0,2023-02-27 19:33,Redmi K50 至尊版,['https://wx3.sinaimg.cn/large/d0b5b74fly1hbi4lcthbwj20j60eewf6.jpg'],,
4873831149209524,MuYGuCDOI,3974461413,军旅迷彩,#新疆地震#【#阿克苏5.1级地震#】@中国地震台网正式测定：02月27日07时58分在新疆阿克苏地区温宿县（北纬41.87度，东经79.85度）发生5.1级地震，震源深度10千米。网友反映，伊宁市、阿拉尔市、图木舒克市等多地有震感。,,,中国地震台网,"新疆地震,阿克苏5.1级地震",0,0,0,2023-02-27 18:56,谭松韵定制Android,['https://wx3.sinaimg.cn/large/ece577e5ly1hbi8vytbluj20j60eeaas.jpg'],,
4873820487551708,MuYpivGxK,2789752472,新时代遇见好书,【#新疆地震#】中国地震台网正式测定：2月27日07时58分新疆阿克苏地区温宿县发生5/1级地震震源深度10千米新疆巴州森林消防迅速启动应急响应。#阿克苏5.1级地震#L广西都市频道的微博视频,,,,"新疆地震,阿克苏5.1级地震",0,0,1,2023-02-27 18:13,iPhone客户端,,"http://f.video.weibocdn.com/u0/n9uRzb5Dgx083tEdpxh6010412003Rqr0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502846&ssig=LPiPkOA3WZ&KID=unistore,video",
4873809134623756,MuY6ZjoQI,5592704247,文教艺在线,#新疆地震#【愿平安！#新疆温宿发生5.1级地震#】中国地震台网正式测定：02月27日07时58分在新疆阿克苏地区温宿县（北纬41.87度，东经79.85度）发生5.1级地震，震源深度10千米。,,,,"新疆地震,新疆温宿发生5.1级地震",0,0,1,2023-02-27 17:28,中国发布超话,['https://wx1.sinaimg.cn/large/0066upRdly1hbi6cydqq9j30j60eemyc.jpg'],,
4873806935757094,MuY3ro9Gm,2638070263,天津经开消防,#经开火焰蓝#【#新疆地震#地震如何正确逃生】地震具有突发性和不可预测性，掌握科学避险方法和逃生技巧，有助于减轻灾害带来的意外伤害，快来听听蓝朋友怎么说“地震切莫乘电梯，疏散逃生沿墙壁；地震切莫靠玻璃，承重墙他更有力……”蓝朋友这洗脑的地震自救口诀你记住了吗？快戳视频学习~L天津经开消防的微博视频,,,,"经开火焰蓝,新疆地震",0,0,1,2023-02-27 17:19,微博视频号,,"http://f.video.weibocdn.com/o0/ESoHYDh3lx083tKjayPe0104120048CJ0E010.mp4?label=mp4_hd&template=540x960.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502846&ssig=1dMtmliEsx&KID=unistore,video",
4873802838180610,MuXWPyk9k,2242064182,桂宝贝,【#新疆地震#】中国地震台网正式测定：2月27日07时58分新疆阿克苏地区温宿县发生5/1级地震震源深度10千米新疆巴州森林消防迅速启动应急响应。#阿克苏5.1级地震#L广西都市频道的微博视频,,,,"新疆地震,阿克苏5.1级地震",0,0,0,2023-02-27 17:03,微博视频号,,"http://f.video.weibocdn.com/u0/n9uRzb5Dgx083tEdpxh6010412003Rqr0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502846&ssig=LPiPkOA3WZ&KID=unistore,video",
4873791504910108,MuXEykBli,2815901284,青白江规划自然资源,#新疆地震#【#阿克苏5.1级地震#】@中国地震台网正式测定：02月27日07时58分在新疆阿克苏地区温宿县（北纬41.87度，东经79.85度）发生5.1级地震，震源深度10千米。（@央视新闻）,,,"中国地震台网,央视新闻","新疆地震,阿克苏5.1级地震",0,0,0,2023-02-27 16:18,微博 weibo.com,['https://wx2.sinaimg.cn/large/a7d73e64ly1hbi4bkvvifj20j60eeq47.jpg'],,
4873774628077710,MuXdkxTnE,3953646138,桂阳法院,#新疆地震#【#阿克苏5.1级地震#】@中国地震台网正式测定：02月27日07时58分在新疆阿克苏地区温宿县（北纬41.87度，东经79.85度）发生5.1级地震，震源深度10千米。网友反映，伊宁市、阿拉尔市、图木舒克市等多地有震感。,,,中国地震台网,"新疆地震,阿克苏5.1级地震",1,5,8,2023-02-27 15:11,iPhone客户端,['https://wx2.sinaimg.cn/large/eba7da3agy1hbi2e9gtqsj20j60eemyd.jpg'],,
4873742653593520,MuWnLf4Q0,3214223722,运城学院学生会,#运院微分享##新疆地震#【愿平安！#新疆温宿发生5.1级地震#】中国地震台网正式测定：02月27日07时58分在新疆阿克苏地区温宿县（北纬41.87度，东经79.85度）发生5.1级地震，震源深度10千米。via：@人民日报,,,人民日报,"运院微分享,新疆地震,新疆温宿发生5.1级地震",0,0,0,2023-02-27 13:04,iQOO 9 Pro 赛道传奇,['https://wx2.sinaimg.cn/large/bf95296aly1hbhypx5g3cj20j40dgq3i.jpg'],,
4873733686433730,MuW9iqZHQ,1447712623,超级点子王,【#新疆地震#】中国地震台网正式测定：2月27日07时58分新疆阿克苏地区温宿县发生5/1级地震震源深度10千米新疆巴州森林消防迅速启动应急响应。#阿克苏5.1级地震#L广西都市频道的微博视频,,,,"新疆地震,阿克苏5.1级地震",0,0,1,2023-02-27 12:28,iPhone客户端,,"http://f.video.weibocdn.com/u0/n9uRzb5Dgx083tEdpxh6010412003Rqr0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687502846&ssig=LPiPkOA3WZ&KID=unistore,video",
