id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4704671509250263,L1XwGCOpN,5617688980,浮云遮住了夏日的太阳,#江苏盐城大丰区发生5.0级地震#我在上政治课……怎么一点没感觉还有江苏居然会地震了😦,,,,江苏盐城大丰区发生5.0级地震,0,3,0,2021-11-17 23:55,Android,,,
4704671211455977,L1Xwd66Lv,1192605341,西伯利亚考拉,#江苏气象辟谣地震云预报地震#今天晚上在东水关拍到的就是所谓“地震云”吗……,,南京·夫子庙灯会,,江苏气象辟谣地震云预报地震,0,0,4,2021-11-17 23:54,iPhone客户端,['https://wx3.sinaimg.cn/large/4715b69dly1gwil39r1x4j23402c0e83.jpg'],,
4704671203330394,L1XwcdYo2,5902163482,宁夏反邪教,#江苏盐城大丰区海域5.0级地震##黄海地震上海江苏有震感#【扩散周知：记住这些地震来时的标准求生姿势！】据中国地震台网正式测定：11月17日13时54分在江苏盐城市大丰区海域（北纬33.50度，东经121.19度）发生5.0级地震，震源深度17千米。预防地震带来的伤害，这些知识得知道！转起扩散！,,,,"江苏盐城大丰区海域5.0级地震,黄海地震上海江苏有震感",3,0,2,2021-11-17 23:54,iPhone客户端,"['https://wx2.sinaimg.cn/large/006rqSlcly1gwil4sx9jvj30j612d796.jpg', 'https://wx2.sinaimg.cn/large/006rqSlcly1gwil4umpkkj30j60o9781.jpg', 'https://wx4.sinaimg.cn/large/006rqSlcly1gwil4sg77qj30j61hf0z7.jpg', 'https://wx2.sinaimg.cn/large/006rqSlcly1gwil4tpcntj30j60ywn1g.jpg', 'https://wx1.sinaimg.cn/large/006rqSlcly1gwil4v9h7bj30j61pa48e.jpg', 'https://wx4.sinaimg.cn/large/006rqSlcly1gwil4vn9arj30j60uygq5.jpg', 'https://wx3.sinaimg.cn/large/006rqSlcly1gwil4vzcs6j30j60mhgob.jpg', 'https://wx2.sinaimg.cn/large/006rqSlcly1gwil4wcwnnj30j60pz42i.jpg', 'https://wx3.sinaimg.cn/large/006rqSlcly1gwil4wr8flj30j62r8anw.jpg']",,
4704670838427135,L1XvBzmhx,6621290733,反韬露,#江苏盐城大丰区发生5.1级地震#我们老师告诉我们看命吧在五楼也跑不了,,,,江苏盐城大丰区发生5.1级地震,0,2,0,2021-11-17 23:53,,,,
4704670809853944,L1XvyFlsA,7703344558,小透明在不想透明,今天是小L长这么大，第1次亲历地震。这是一个风和日丽，普普通通的下午，小L正在历史课上发着呆，听着班主任在讲台上面就这次期中考试训话。忽的，桌子开始晃起来了！小L疑惑，以为是同桌在晃腿，然后导致桌子开始晃了。又过了几秒，连同桌和旁边的柜子都开始晃了。班上的同学也开始有反应了。这时候大家才反应过来地震了。当小L反应过来是地震的时候，眼泪在眼眶里打转，拉住同桌的手，不知所措，脑子里面在想该如何更好更快的逃出去，会不会还没等自己从3楼逃下去，教学楼就塌了，那到时候该怎么办？真的不敢想。真是太害怕了。不过幸运的是，小L所在的城市只是被辐射带动作用了一下下。后来下课就传来了盐城地震的消息。#盐城地震##江苏盐城大丰区发生5.1级地震#,,,,"盐城地震,江苏盐城大丰区发生5.1级地震",0,1,1,2021-11-17 23:53,vivo手机,,,
4704657420587249,L1X9Y2sLL,1653603955,扬子晚报,【为何多地有震感？会不会有余震？#专家解读盐城海域5级地震#】11月17日，#江苏盐城大丰区海域5级地震#。江苏省地震局专家表示，近期不排除在原震中区发生小范围有感余震的可能性，但是发生破坏性地震的可能性较小。此次地震的强度不足以引发海啸，也请公众不要恐慌。（记者于丹丹）O盐城海域的地震为何多地有震感？会不会有余震？省地震局专家解读,,,,"专家解读盐城海域5级地震,江苏盐城大丰区海域5级地震",5,1,7,2021-11-17 23:00,微博 weibo.com,['https://wx1.sinaimg.cn/large/001NUlVxgy1gwihdk28hnj60hs0dcwem02.jpg'],,
4704657328835755,L1X9OB4Ab,6481786061,不可名状人外生物,#江苏盐城大丰区发生5.1级地震#地震的时候刚好在上地理课老师直接现场出题,,,,江苏盐城大丰区发生5.1级地震,0,0,0,2021-11-17 22:59,华为手机 畅享玩不停,,,
4704657144286754,L1X9whZbc,5659279913,安栀予,生平第一次体验到地震，万万没想到江阴也会经历地震啊😳#江苏盐城大丰区发生5.1级地震#,,,,江苏盐城大丰区发生5.1级地震,0,0,0,2021-11-17 22:58,荣耀V10 我AI的快,,,
4704656960262087,L1X9e16bd,6320519595,白桃乌龙少冰xxxx,#江苏盐城大丰区发生5.1级地震#咱就是一点感觉都没有也就是因为这个b期中考完生物才知道我们刚发试卷就地震了,,,,江苏盐城大丰区发生5.1级地震,0,0,0,2021-11-17 22:58,nova5 人像超级夜景,,,
4704656381183648,L1X8i4XV6,7618678706,搞笑俱乐部21,江苏盐城附近发生5.0级地震，南通一公司内员工迅速撤离。#吸精制作人计划##视频制作人出道计划#L搞笑俱乐部21的微博视频,,,,"吸精制作人计划,视频制作人出道计划",0,0,0,2021-11-17 22:55,微博视频号,,"http://f.video.weibocdn.com/o0/PBD4LMqmlx07RtfsoiFO010412005oFH0E010.mp4?label=mp4_720p&template=720x1280.24.0&trans_finger=0dec003e4dad885964301ff5a1db7715&ori=0&ps=1BVp4ysnknHVZu&Expires=1687659040&ssig=mc4vJsFRyu&KID=unistore,video",
4704656230192469,L1X830O4l,7472788171,倍北北,#江苏盐城5.0级地震现场情况如何#还坐在四楼复习准备下午的期中考，突然感觉楼在晃，一开始还以为是我后桌在动，等我反应过来是地在晃的时候一切又回归平静了我还寻思着是不是地震了，然后不用期中考了？,,,,江苏盐城5.0级地震现场情况如何,0,0,0,2021-11-17 22:55,全屏双摄 OPPO A5,,,
4704655818625442,L1X7nAbS2,5842183832,今天为kg努力了吗,也是经历过地震，见过世面的江苏人了。27楼震感是真的明显，一口气跑13楼最后还是选择躺平坐电梯。,,,,,0,0,0,2021-11-17 22:53,iPhone客户端,"['https://wx3.sinaimg.cn/large/006nncTuly1gwijd2yv78j33402c07wi.jpg', 'https://wx3.sinaimg.cn/large/006nncTuly1gwijd3p584j30to1p2gtj.jpg']",,
4704655735525865,L1X7fnbwR,6576710823,彗妍果汁,#江苏盐城大丰区发生5.1级地震#咱就是说，还好没感觉到,,南京,,江苏盐城大丰区发生5.1级地震,0,0,0,2021-11-17 22:53,vivo手机,,,
4704655588721594,L1X70AASS,6481145604,·逃離黄昏·,#江苏盐城大丰区发生5.1级地震#射阳这晃得也厉害我后排那位睡得可香,,,,江苏盐城大丰区发生5.1级地震,0,0,0,2021-11-17 22:52,iPhone客户端,,,
