id,bid,user_id,用户昵称,微博正文,头条文章url,发布位置,艾特用户,话题,转发数,评论数,点赞数,发布时间,发布工具,微博图片url,微博视频url,retweet_id
4748081550333165,LkaOT1oFD,6502068638,大禹节水sz300021,大禹节水sz300021甘肃张掖发生5.1级地震临近上市公司回应：生产正常，点击链接查看更多->O甘肃张掖发生5.1级地震临近上市公司回应：生产正常,,,,,0,0,0,2022-03-17 18:51,微博股票,,,
4748081100490373,LkaOa23zf,6500546954,酒钢宏兴sh600307,酒钢宏兴sh600307甘肃张掖发生5.1级地震临近上市公司回应：生产正常，点击链接查看更多->O甘肃张掖发生5.1级地震临近上市公司回应：生产正常,,,,,0,0,0,2022-03-17 18:50,微博股票,,,
4748080664546051,LkaNsj4Dp,2743450362,陕西汉中消防,【#甘肃张掖肃南5.1级地震#消防救援队伍还没接到报警】中国地震台网正式测定：3月17日08时26分在甘肃张掖市肃南县（北纬39.02度，东经97.66度）发生5.1级地震，震源深度9千米。地震发生后20分钟，当地消防救援队伍还没接到地震救援报警。#张掖5.1级地震#,,,,"甘肃张掖肃南5.1级地震,张掖5.1级地震",0,0,0,2022-03-17 18:48,iPhone 13,"['https://wx4.sinaimg.cn/large/a385bafaly1h0d2n63nqtj20j60eet8p.jpg', 'https://wx1.sinaimg.cn/large/a385bafaly1h0d2n6srssj21hd0u0apl.jpg', 'https://wx2.sinaimg.cn/large/a385bafaly1h0d2n5tp89j21400u07ge.jpg']",,
4748078597541796,LkaK7vDXS,1920359817,兰州铁路,#春日里的中国#3月17日8时26分，甘肃省张掖市肃南县发生地震，中国铁路兰州局集团有限公司立即启动应急预案，迅速安排部署，相关单位加强与集团公司调度所、工务、电务等部门联系，做好现场检查，加强信息沟通反馈，确保运输安全平稳有序。（文图：刘登成徐德琨朱政统）,,,,春日里的中国,13,12,33,2022-03-17 18:40,微博网页版,"['https://wx2.sinaimg.cn/large/72765d89ly1h0d2ehstukj21be0zjdtm.jpg', 'https://wx2.sinaimg.cn/large/72765d89ly1h0d2eh1ac4j23k02o07wj.jpg', 'https://wx4.sinaimg.cn/large/72765d89ly1h0d2ehe2gxj21be0zjtlt.jpg']",,
4748076911171172,LkaHp4UFS,5707880068,亮姐乐多,刚突发地震！网友：躺床上不敢动，好像一动房子就塌了…今早（17日）8点多发生5.1级地震中国地震台网正式测定：03月17日08时26分在甘肃省张掖市肃南县（北纬39.02度，东经97.66度）发生5.1级地震，震源深度9千米。,,长沙·省司法警察总医院,,,0,0,0,2022-03-17 18:33,OPPO A9,"['https://wx1.sinaimg.cn/large/006ehGlKgy1h0d27nu8h0j30u00b7wf5.jpg', 'https://wx4.sinaimg.cn/large/006ehGlKgy1h0d27o9g5rj30m80got94.jpg']",,
4748076030100197,LkaFZ0q45,6436726236,俊影成行6436726236,张掖肃南发生5.1级地震甘肃消防紧急集结出动O张掖肃南发生5.1级地震甘肃消防紧急集结出动,,,,,0,0,0,2022-03-17 18:30,学习强国客户端,['https://wx2.sinaimg.cn/large/0071BQx6ly1h0d240lpohj3046046dfr.jpg'],,
4748075686691548,LkaFqs4Mc,6387872863,新警事儿,【肃南发生5.1级地震公安机关全力做好震后街面巡逻、交通疏导、受损排查】3月17日8时26分，甘肃省张掖市肃南裕固族自治县发生5.1级地震，震源深度9千米。地震发生后，肃南县公安局迅速启动应急响应机制，全力做好震后街面巡逻、交通疏导、受损排查等工作，确保广大群众的生命财产安全。8时30分，肃南县公安局第一时间调度辖区8个派出所，全面了解掌握全县社会面情况，公安机关全力做好社会治安管控、道路交通安全管理和隐患排查，加强社会面的整体防控。该局全面加强应急值守，及时启动防震减灾应急响应，严格执行24小时值班制度，应急力量保持高度戒备和临战状态，确保随时可以拉得出、冲得上。强化社会面整体防控。加大警力对辖区重点单位、重点场所开展巡查排查，共排查相关重点部门54处。启动武装联勤巡逻机制，出动警力70余人、警车12台，强化街面显性用警，最大限度屯警街面，努力维护治安秩序，强力震慑违法犯罪。强化道路交通安全管控。交警大队出动警力30余人、车辆7台，联合路政、交通等部门对辖区内路面、桥梁等安全状况进行巡逻排查。同时，强化网上巡查防控，全面排查各类网络有害信息，防止发生网上有害信息造成现实危害。截至目前，未接报人员伤亡、房屋倒塌的警情及报告，未发生影响重大的案（事）件，辖区内涉危涉爆等重点行业场所一切正常，公路路面、桥梁未受地震影响，全县社会大局持续稳定、群众生活平稳有序、道路交通畅通。（人民公安报记者闫振宙通讯员李志鹏）@张掖公安@肃南公安,,,"张掖公安,肃南公安",,0,0,1,2022-03-17 18:28,360安全浏览器,,,
4748073363050113,LkaBGcNtn,1408847113,杨苏祁,杨树林疫情还没结束，各地又传来地震的消息3月14日02时28分在广东惠州市惠东县海域发生4.1级地震，震源深度25千米。3月16日02时44分在吉林松原市宁江区（北纬45.25度，东经124.75度）发生4.3级地震，震源深度10千米。3月17日08时26分在甘肃张掖市肃南县（北纬39.02度，东经97.66度）发生5.1级地震，震源深度9千米。唉😔希望大家都能平平安安就好！杨冰（冰）杨苏祁（淇）杨树林（淋）L杨苏祁的微博视频,,,,,1,0,1,2022-03-17 18:19,杨树林超话,,"http://f.video.weibocdn.com/o0/KF0WkQ2rlx07Uyln0MVa010412012nIl0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687600872&ssig=uBgU8BS7FM&KID=unistore,video",
4748068630564009,Lkau32mIV,2597432882,海口消防,#甘肃肃南5.1级地震#【你知道如何识别地震谣言吗？】地震发生后，地震谣言有时也会随之出现。这些谣言在网络上引发公众广泛关注，造成恐慌。你知道该如何识别地震谣言吗？戳视频了解详情↓↓#应急科普#@中国地震台网L应急管理部的微博视频,,,中国地震台网,"甘肃肃南5.1级地震,应急科普",0,0,0,2022-03-17 18:00,HarmonyOS设备,,"http://f.video.weibocdn.com/o0/jfyxSa1Mlx07UxOV6jRK010412007Phx0E010.mp4?label=mp4_ld&template=636x360.25.0&ori=0&ps=1BVp4ysnknHVZu&Expires=1687600872&ssig=doepX33AY8&KID=unistore,video",
4748068492675335,LkatPbdYz,1915096531,武汉交通广播,#甘肃肃南5.1级地震#【地震来了如何逃生？】千万别慌张：①若在楼内，迅速找安全的地方躲避，可躲在结实的家具下，或有承重墙且空间较小的房间里；②若在室外，到空旷的地方蹲下或趴下，护住头部；③不能确定安全前，千万不要返回家中拿取财物。转发分享给更多人！！（via国家应急广播）L国家应急广播的微博视频,,,,甘肃肃南5.1级地震,0,0,0,2022-03-17 18:00,微博视频号,,"http://f.video.weibocdn.com/4FEhb2eZlx07MBnqUjFm01041200EYMf0E010.mp4?label=mp4_720p&template=1280x720.25.0&trans_finger=1f0da16358befad33323e3a1b7f95fc9&ori=0&ps=1BVp4ysnknHVZu&Expires=1687600872&ssig=dwk0cxHpyr&KID=unistore,video",
